 nodos membrana externa           0
     
     
     
  79    0.23310E+01    0.45152E-02    0.52988E+02    0.21366E-02
  80    0.23494E+01    0.45622E-02    0.52974E+02    0.20004E-02
  81    0.23676E+01    0.46067E-02    0.52959E+02    0.18661E-02
  82    0.23855E+01    0.46490E-02    0.52945E+02    0.17339E-02
  83    0.24032E+01    0.46890E-02    0.52931E+02    0.16037E-02
  84    0.24206E+01    0.47268E-02    0.52916E+02    0.14754E-02
  85    0.24377E+01    0.47627E-02    0.52902E+02    0.13489E-02
  86    0.24546E+01    0.47966E-02    0.52888E+02    0.12244E-02
  87    0.24712E+01    0.48287E-02    0.52874E+02    0.11016E-02
  88    0.24876E+01    0.48590E-02    0.52859E+02    0.98061E-03
  89    0.25038E+01    0.48876E-02    0.52845E+02    0.86129E-03
  90    0.25197E+01    0.49146E-02    0.52831E+02    0.74362E-03
  91    0.25354E+01    0.49402E-02    0.52817E+02    0.62751E-03
  92    0.25508E+01    0.49643E-02    0.52803E+02    0.51285E-03
  93    0.25660E+01    0.49871E-02    0.52789E+02    0.39951E-03
  94    0.25810E+01    0.50087E-02    0.52775E+02    0.28738E-03
  95    0.25958E+01    0.50291E-02    0.52761E+02    0.17634E-03
  96    0.26104E+01    0.50484E-02    0.52748E+02    0.66272E-04
  97    0.26247E+01    0.50666E-02    0.52734E+02   -0.43008E-04
  98    0.26388E+01    0.50840E-02    0.52720E+02   -0.15173E-03
  99    0.26527E+01    0.51007E-02    0.52707E+02   -0.26030E-03
 100    0.26664E+01    0.51185E-02    0.52693E+02   -0.36901E-03
 101    0.26799E+01    0.51360E-02    0.52680E+02   -0.48129E-03
 102    0.26934E+01    0.51537E-02    0.52666E+02   -0.59188E-03
 103    0.27069E+01    0.51650E-02    0.52653E+02   -0.70207E-03
 104    0.27204E+01    0.51732E-02    0.52639E+02   -0.80919E-03
 105    0.27341E+01    0.51784E-02    0.52625E+02   -0.91449E-03
 106    0.27477E+01    0.51808E-02    0.52610E+02   -0.10183E-02
 107    0.27615E+01    0.51806E-02    0.52596E+02   -0.11205E-02
 108    0.27753E+01    0.51781E-02    0.52581E+02   -0.12214E-02
 109    0.27892E+01    0.51732E-02    0.52566E+02   -0.13209E-02
 110    0.28031E+01    0.51661E-02    0.52551E+02   -0.14190E-02
 111    0.28171E+01    0.51569E-02    0.52535E+02   -0.15157E-02
